inspection_id,has_electricity,has_drinking_water,has_functional_toilet,has_boundary_wall,has_playground,inspector_name,remarks,date,school_id
INSP00195,1.0,1.0,1.0,1.0,0.0,Nimrat Hayer,Toilets locked,2025-07-12,SCH0346
INSP00777,1.0,0.0,1.0,1.0,0.0,Oeshi Pradhan,Needs repair,2025-06-18,SCH0058
INSP01678,1.0,1.0,1.0,1.0,0.0,Fitan Halder,Toilets locked,2026-03-24,SCH0263
INSP01236,0.0,1.0,0.0,0.0,0.0,,Good condition,2025-03-11,SCH0442
INSP01394,1.0,1.0,1.0,0.0,0.0,Yamini Naidu,Needs repair,2025-09-14,SCH0261
INSP00045,1.0,1.0,0.0,1.0,1.0,Nicholas Keer,No remarks,2025-11-04,SCH0003
INSP01765,0.0,1.0,0.0,0.0,0.0,Zinal Bhavsar,Average,2025-04-28,SCH0167
INSP00946,1.0,1.0,1.0,0.0,1.0,Isaac Khatri,,2025-06-09,SCH0129
INSP02052,1.0,1.0,0.0,1.0,0.0,Peter Mody,No remarks,2025-08-18,SCH0398
INSP00830,1.0,0.0,1.0,1.0,0.0,Yatin Ghose,Toilets locked,2025-07-20,SCH0526
INSP02967,0.0,1.0,1.0,0.0,0.0,Falak Jaggi,Good condition,2025-09-16,SCH0153
INSP02922,1.0,1.0,1.0,1.0,0.0,Isaiah Nagarajan,,2026-02-04,SCH0194
INSP01279,1.0,1.0,0.0,1.0,,Ekani Oommen,Average,2025-12-13,SCH0475
INSP02900,0.0,1.0,1.0,1.0,0.0,Maya Sastry,,2025-06-28,SCH0138
INSP02808,0.0,1.0,1.0,0.0,1.0,Vyanjana Badal,Good condition,2025-04-30,SCH0052
INSP01802,0.0,1.0,1.0,1.0,0.0,Aishani Dhillon,Needs repair,2026-02-28,SCH0364
INSP00486,,1.0,1.0,0.0,1.0,Faras Yohannan,Average,2025-09-06,SCH0501
INSP02372,1.0,0.0,1.0,1.0,0.0,Upkaar Narang,Good condition,2026-03-13,SCH0600
INSP00443,1.0,0.0,1.0,1.0,,Gauri Deshmukh,Average,2025-05-15,SCH0530
INSP01642,1.0,1.0,1.0,,1.0,Vasudha Jayaraman,Average,2025-11-26,SCH0239
INSP02598,1.0,1.0,1.0,1.0,1.0,Pranav Master,Average,2025-04-28,SCH0223
INSP01714,0.0,1.0,1.0,1.0,1.0,,Good condition,2025-05-07,SCH0320
INSP02982,0.0,1.0,,,1.0,Sanya Choudhry,Toilets locked,2025-09-26,SCH0169
INSP00757,0.0,1.0,1.0,0.0,1.0,Bhanumati Sridhar,Needs repair,2025-10-22,SCH0129
INSP01881,1.0,1.0,1.0,1.0,0.0,Hemani Chander,No remarks,2025-04-29,SCH0593
INSP00241,1.0,1.0,1.0,1.0,1.0,Peter Rajagopalan,Needs repair,2025-11-09,SCH0360
INSP02355,1.0,1.0,0.0,1.0,1.0,Alexander Gokhale,,2026-01-22,SCH0211
INSP01666,1.0,1.0,0.0,0.0,0.0,Diya Saini,,2025-12-27,SCH0199
INSP02431,1.0,1.0,1.0,0.0,1.0,Ikshita Dhillon,No remarks,2026-03-16,SCH0083
INSP01744,1.0,1.0,1.0,0.0,1.0,Ekansh Bhandari,No remarks,2026-02-10,SCH0308
INSP00140,1.0,1.0,0.0,1.0,0.0,Zaitra Chandran,Good condition,2025-10-07,SCH0103
INSP00347,,1.0,0.0,1.0,1.0,Neel Murthy,,2025-09-16,SCH0194
INSP01537,1.0,1.0,1.0,0.0,1.0,Chandran Gopal,,2025-10-29,SCH0105
INSP00315,1.0,1.0,1.0,0.0,0.0,Anvi Tara,Needs repair,2025-11-13,SCH0483
INSP01743,1.0,1.0,1.0,1.0,1.0,,,2026-02-06,SCH0257
INSP00323,1.0,1.0,1.0,0.0,,Raksha Jain,Good condition,2025-02-10,SCH0316
INSP01682,1.0,1.0,1.0,1.0,1.0,Vaishnavi Rau,Average,2026-01-07,SCH0302
INSP01460,1.0,0.0,1.0,,,Charles Bahri,Average,2025-09-05,SCH0289
INSP02034,1.0,0.0,0.0,0.0,0.0,Zarna Rau,,2026-12-01,SCH0386
INSP00257,,1.0,1.0,1.0,1.0,Advay Rama,Average,2025-07-21,SCH0408
INSP02300,,0.0,1.0,0.0,1.0,Balhaar Wable,Toilets locked,2026-01-17,SCH0566
INSP01732,1.0,0.0,0.0,1.0,0.0,Dalaja Lala,Needs repair,2025-11-12,SCH0529
INSP02601,1.0,1.0,1.0,0.0,,Vrishti Dugar,Toilets locked,2026-01-03,SCH0154
INSP00204,1.0,1.0,,1.0,1.0,Jacob Mani,No remarks,2025-09-06,SCH0590
INSP01785,0.0,1.0,1.0,0.0,0.0,Vidhi Om,Good condition,2025-04-03,SCH0488
INSP00299,0.0,1.0,1.0,0.0,0.0,Odika Bhandari,,2025-12-14,SCH0599
INSP00052,0.0,1.0,1.0,0.0,0.0,Daksha Kapadia,Good condition,2025-12-07,SCH0320
INSP00215,1.0,1.0,1.0,0.0,0.0,Ikbal Nagy,Needs repair,2025-05-19,SCH0419
INSP00064,1.0,1.0,1.0,0.0,0.0,Forum Choudhary,Toilets locked,2026-03-03,SCH0051
INSP02497,1.0,1.0,1.0,1.0,0.0,Ayushman Vyas,Needs repair,2026-02-23,SCH0004
INSP02801,0.0,,0.0,1.0,1.0,Lavanya Thaker,Needs repair,2025-05-08,SCH0473
INSP01358,1.0,0.0,1.0,0.0,0.0,Ojasvi Chad,Toilets locked,2025-11-12,SCH0527
INSP00300,0.0,1.0,1.0,0.0,1.0,Yauvani Narang,Toilets locked,2025-04-13,SCH0443
INSP00433,1.0,1.0,1.0,1.0,1.0,Viraj Munshi,Toilets locked,2025-08-27,SCH0523
INSP01101,0.0,1.0,1.0,0.0,1.0,Abdul Dayal,Average,2026-02-26,SCH0512
INSP00053,1.0,1.0,1.0,1.0,0.0,Lipika Agarwal,Needs repair,2025-04-05,SCH0112
INSP00795,0.0,1.0,1.0,1.0,,Caleb Pandya,No remarks,2025-10-20,SCH0458
INSP02078,,1.0,1.0,0.0,0.0,Raghav Bakshi,Average,2025-10-15,SCH0542
INSP01252,1.0,1.0,1.0,0.0,0.0,Dev Sawhney,Average,2025-10-22,SCH0450
INSP01075,0.0,1.0,0.0,1.0,0.0,Oviya Sidhu,Average,2025-09-03,SCH0176
INSP02378,1.0,1.0,1.0,1.0,0.0,Manthan Bora,,2025-07-03,SCH0441
INSP01588,1.0,1.0,1.0,1.0,1.0,Yatin Mander,Toilets locked,2025-12-12,SCH0440
INSP01289,1.0,1.0,1.0,1.0,1.0,Brijesh Natarajan,Toilets locked,2025-10-31,SCH0546
INSP01675,1.0,1.0,1.0,1.0,,Rachana Vaidya,No remarks,2025-08-26,SCH0035
INSP02133,1.0,0.0,1.0,0.0,0.0,Krishna Viswanathan,Toilets locked,2026-01-12,SCH0367
INSP01448,1.0,1.0,1.0,,0.0,Isaac Pall,Average,2026-03-03,SCH0422
INSP02897,1.0,1.0,0.0,0.0,0.0,Idika Muni,No remarks,2025-10-14,SCH0263
INSP00071,1.0,,1.0,0.0,0.0,Advaith Ghosh,No remarks,2025-08-20,SCH0047
INSP00643,1.0,1.0,1.0,1.0,1.0,Anjali Lalla,No remarks,2026-03-30,SCH0506
INSP02543,0.0,1.0,1.0,0.0,1.0,Quincy Ramaswamy,No remarks,2026-03-04,SCH0164
INSP00945,1.0,1.0,1.0,0.0,1.0,Omaja Ghose,Toilets locked,2025-11-12,SCH0073
INSP02852,1.0,1.0,1.0,,0.0,Hardik Venkatesh,,2026-01-11,SCH0050
INSP02539,1.0,,1.0,1.0,1.0,Jeet Swaminathan,,2025-04-21,SCH0131
INSP01106,1.0,,1.0,1.0,,,No remarks,2025-04-13,SCH0254
INSP01175,0.0,,1.0,0.0,0.0,Amaira Tara,Average,2025-04-22,SCH0422
INSP02670,0.0,1.0,0.0,1.0,0.0,Krish Kala,,2025-08-10,SCH0525
INSP01757,,1.0,1.0,1.0,1.0,Siya Kashyap,,2025-04-25,SCH0354
INSP00479,1.0,0.0,1.0,0.0,,Eiravati Buch,Toilets locked,2025-07-09,SCH0535
INSP02178,1.0,1.0,0.0,,1.0,Madhav Rattan,Needs repair,2026-03-01,SCH0160
INSP02429,1.0,1.0,0.0,1.0,0.0,Ekantika Nath,Needs repair,2025-06-14,SCH0291
INSP00730,1.0,0.0,1.0,1.0,0.0,Eshana Dey,Needs repair,2025-10-09,SCH0305
INSP01761,0.0,1.0,1.0,1.0,,Tanveer Reddy,Average,2025-07-18,SCH0564
INSP02282,1.0,1.0,1.0,0.0,1.0,Yug Sur,Average,2025-10-30,SCH0168
INSP00290,,1.0,,1.0,1.0,Warjas Vala,,2025-12-28,SCH0416
INSP01092,1.0,1.0,1.0,0.0,1.0,Balendra Warrior,Needs repair,2025-12-23,SCH0532
INSP01420,0.0,1.0,1.0,1.0,,Darsh Nori,Needs repair,2025-05-01,SCH0040
INSP00451,1.0,1.0,0.0,0.0,,Qushi Tella,Average,2025-07-15,SCH0490
INSP02443,1.0,,1.0,1.0,,Chavvi Pradhan,,2026-02-23,SCH0473
INSP00808,1.0,0.0,0.0,1.0,,Azaan Basak,,2025-02-07,SCH0493
INSP00464,1.0,1.0,1.0,1.0,0.0,Bhavya Doshi,Average,2025-06-30,SCH0227
INSP02529,1.0,1.0,0.0,1.0,1.0,Advik Raja,Needs repair,2025-07-19,SCH0041
INSP02699,1.0,1.0,0.0,1.0,0.0,,,2025-12-03,SCH0482
INSP00568,1.0,1.0,0.0,0.0,0.0,Edhitha Srivastava,Needs repair,2026-03-31,SCH0043
INSP01611,1.0,1.0,1.0,1.0,1.0,Zehaan Virk,Needs repair,2025-11-06,SCH0493
INSP00077,0.0,0.0,1.0,1.0,0.0,Aachal Chandra,Good condition,2025-08-18,SCH0186
INSP00332,1.0,1.0,1.0,1.0,1.0,Fiyaz Chanda,Average,2025-08-20,SCH0450
INSP00612,1.0,1.0,1.0,0.0,,Geetika Raman,,2026-03-17,SCH0327
INSP01074,0.0,1.0,1.0,1.0,0.0,Tanvi Wagle,Toilets locked,2025-10-12,SCH0265
INSP00786,,0.0,0.0,1.0,1.0,Zarna Bhargava,No remarks,2026-02-13,SCH0313
INSP00046,1.0,1.0,1.0,1.0,0.0,Naksh Ray,Good condition,2025-11-14,SCH0280
INSP02908,1.0,1.0,0.0,1.0,0.0,Bhavani Gaba,Toilets locked,2025-06-12,SCH0248
INSP00344,1.0,1.0,1.0,1.0,1.0,Ganga Korpal,Toilets locked,2026-01-06,SCH0451
INSP02171,1.0,1.0,0.0,0.0,0.0,Anirudh Muni,Good condition,2025-11-27,SCH0171
INSP01560,1.0,1.0,1.0,0.0,0.0,,Needs repair,2025-06-09,SCH0554
INSP00545,0.0,1.0,1.0,1.0,1.0,Ishanvi Wason,Needs repair,2025-06-02,SCH0302
INSP01024,1.0,1.0,1.0,1.0,1.0,Rehaan Ahluwalia,No remarks,2025-11-08,SCH0428
INSP00153,1.0,1.0,1.0,1.0,1.0,Geetika Kulkarni,,2025-10-15,SCH0540
INSP01981,1.0,1.0,1.0,0.0,0.0,,Toilets locked,2025-05-03,SCH0499
INSP01323,1.0,1.0,1.0,1.0,0.0,Triya Dutta,No remarks,2025-09-07,SCH0264
INSP01019,1.0,1.0,1.0,1.0,0.0,Vedant Hayer,No remarks,2025-06-06,SCH0303
INSP02182,1.0,1.0,1.0,0.0,1.0,Krisha Mital,Good condition,2026-01-29,SCH0248
INSP00001,1.0,1.0,1.0,1.0,,Ira Ranganathan,Good condition,2025-09-22,SCH0087
INSP01463,0.0,1.0,0.0,1.0,1.0,Alexander Garde,Needs repair,2025-06-28,SCH0247
INSP00622,0.0,1.0,1.0,0.0,0.0,Girish Batta,Average,2025-10-05,SCH0089
INSP00409,1.0,1.0,1.0,0.0,1.0,Vaishnavi Sarkar,No remarks,2025-04-17,SCH0069
INSP02837,0.0,0.0,0.0,0.0,0.0,Gabriel Biswas,Average,2025-06-04,SCH0424
INSP01967,1.0,,1.0,0.0,0.0,Yoshita Sridhar,Toilets locked,2025-08-30,SCH0105
INSP02845,1.0,1.0,1.0,1.0,1.0,Parth Bawa,Average,2025-11-29,SCH0341
INSP01622,1.0,1.0,0.0,0.0,1.0,Chaman Dubey,,2026-03-15,SCH0546
INSP01367,1.0,1.0,1.0,1.0,1.0,Suhani Viswanathan,Good condition,2025-12-21,SCH0078
INSP00888,0.0,0.0,1.0,,,Niharika Subramaniam,,2025-08-21,SCH0179
INSP01845,1.0,1.0,1.0,1.0,0.0,Wridesh Patil,,2025-05-20,SCH0105
INSP00033,1.0,1.0,1.0,1.0,1.0,Urvi Dani,,2025-06-24,SCH0323
INSP00212,1.0,1.0,1.0,0.0,0.0,Daksh Vora,Good condition,2025-05-22,SCH0080
INSP02551,1.0,1.0,1.0,1.0,0.0,David Cheema,Toilets locked,2025-12-20,SCH0186
INSP00015,1.0,1.0,0.0,1.0,1.0,Yashoda Jani,Average,2025-04-05,SCH0124
INSP00094,1.0,,1.0,0.0,1.0,Ekapad Rattan,Needs repair,2025-10-28,SCH0234
INSP01256,1.0,1.0,1.0,1.0,1.0,Manya Mody,No remarks,2025-08-30,SCH0037
INSP01398,1.0,1.0,1.0,0.0,0.0,Wahab Patil,Toilets locked,2025-11-05,SCH0517
INSP02819,1.0,1.0,0.0,,1.0,,Good condition,2025-11-10,SCH0116
INSP00355,1.0,1.0,,1.0,0.0,Yoshita Nazareth,Average,2026-03-02,SCH0410
INSP00150,1.0,0.0,0.0,0.0,1.0,Christopher Dutt,Good condition,2025-12-30,SCH0428
INSP00255,1.0,1.0,,1.0,1.0,Jai Varughese,Average,2025-05-05,SCH0540
INSP02030,1.0,1.0,0.0,1.0,0.0,,,2025-04-04,SCH0010
INSP00599,1.0,1.0,,1.0,0.0,Bakhshi Shan,,2025-04-13,SCH0292
INSP00185,0.0,1.0,1.0,0.0,0.0,Osha Iyengar,No remarks,2025-05-30,SCH0041
INSP00579,0.0,1.0,0.0,0.0,0.0,,Average,2025-06-07,SCH0345
INSP01091,1.0,1.0,1.0,1.0,1.0,,,2025-12-09,SCH0447
INSP01174,1.0,1.0,1.0,1.0,0.0,Maanav Rau,Needs repair,2025-11-25,SCH0340
INSP02252,1.0,1.0,1.0,0.0,0.0,Anita Kannan,,2025-04-12,SCH0476
INSP00472,1.0,1.0,1.0,0.0,1.0,Janya Lalla,Average,2025-08-26,SCH0242
INSP01966,1.0,1.0,0.0,0.0,1.0,Vihaan Varma,Good condition,2026-03-13,SCH0281
INSP01964,1.0,1.0,1.0,1.0,0.0,Jeevika Pandit,Average,2025-06-21,SCH0598
INSP01303,1.0,1.0,,1.0,0.0,Vihaan Bora,Good condition,2026-03-17,SCH0359
INSP02998,1.0,1.0,,1.0,0.0,Arya Shenoy,Toilets locked,2026-03-20,SCH0117
INSP00258,0.0,1.0,1.0,1.0,0.0,Unnati Iyengar,Toilets locked,2025-07-06,SCH0067
INSP00933,0.0,1.0,1.0,1.0,1.0,Yashasvi Sethi,No remarks,2025-07-02,SCH0176
INSP01685,1.0,1.0,0.0,0.0,0.0,Ayushman Chand,Average,2025-11-20,SCH0505
INSP00719,1.0,1.0,1.0,1.0,1.0,Harinakshi Boase,,2025-12-06,SCH0533
INSP00597,0.0,1.0,0.0,1.0,0.0,Rohan Rau,No remarks,2026-06-02,SCH0014
INSP00611,1.0,1.0,1.0,1.0,1.0,Nachiket Purohit,No remarks,2025-09-01,SCH0432
INSP00756,,1.0,1.0,0.0,0.0,Suhani Baral,Toilets locked,2025-10-24,SCH0489
INSP02326,1.0,1.0,1.0,1.0,1.0,Wazir Varty,Good condition,2025-08-14,SCH0196
INSP01507,0.0,,1.0,0.0,1.0,Chanchal Parmer,,2025-09-28,SCH0177
INSP02488,1.0,,1.0,1.0,0.0,Urvi Datta,Toilets locked,2025-12-13,SCH0209
INSP01887,1.0,1.0,1.0,1.0,0.0,Balvan Vohra,,2025-07-16,SCH0019
INSP01339,0.0,1.0,0.0,1.0,1.0,,Good condition,2025-04-11,SCH0428
INSP02612,,1.0,1.0,0.0,0.0,Wahab Thakkar,No remarks,2025-09-08,SCH0400
INSP00175,1.0,1.0,1.0,0.0,0.0,Abdul Ratti,Average,2025-04-18,SCH0427
INSP01392,1.0,1.0,1.0,1.0,1.0,Yug Pradhan,Needs repair,2025-07-10,SCH0428
INSP02249,1.0,1.0,1.0,1.0,0.0,Tanmayi Goel,,2026-03-17,SCH0026
INSP00121,1.0,1.0,1.0,1.0,1.0,Ekanta Ramesh,No remarks,2025-09-08,SCH0480
INSP02893,1.0,1.0,1.0,1.0,1.0,Maya Cheema,Toilets locked,2026-09-01,SCH0257
INSP00529,1.0,1.0,1.0,,1.0,Jacob Buch,Needs repair,2026-03-25,SCH0080
INSP02568,1.0,1.0,0.0,1.0,1.0,Mahika Swaminathan,,2026-01-24,SCH0356
INSP00904,,1.0,1.0,,0.0,Sai Vasa,Toilets locked,2026-02-13,SCH0380
INSP02916,1.0,1.0,0.0,0.0,1.0,Aditya Korpal,Needs repair,2026-03-19,SCH0327
INSP00440,1.0,1.0,1.0,1.0,1.0,Ronith Desai,Toilets locked,2025-10-15,SCH0026
INSP01379,1.0,1.0,1.0,1.0,,Samar Sandal,Average,2025-06-04,SCH0026
INSP02773,1.0,1.0,1.0,1.0,1.0,Pratyush Parsa,Good condition,2025-08-27,SCH0124
INSP02145,1.0,,0.0,1.0,1.0,Hemal Contractor,Good condition,2025-07-12,SCH0522
INSP00189,1.0,1.0,1.0,1.0,1.0,Ishanvi Mangal,Average,2025-12-10,SCH0311
INSP01951,1.0,1.0,0.0,1.0,1.0,,Average,2025-08-13,SCH0202
INSP01265,1.0,1.0,1.0,,0.0,Maanas Murty,Toilets locked,2026-12-01,SCH0122
INSP02351,1.0,0.0,1.0,0.0,0.0,Leena Wason,,2025-04-20,SCH0204
INSP01115,,0.0,,1.0,1.0,Darsh Krishna,No remarks,2025-04-09,SCH0269
INSP00271,1.0,1.0,1.0,1.0,0.0,Timothy Ghosh,Toilets locked,2026-01-12,SCH0240
INSP00252,1.0,1.0,1.0,1.0,0.0,Mohini Soni,,2025-04-10,SCH0111
INSP00369,0.0,1.0,0.0,1.0,1.0,Geetika Mishra,Toilets locked,2026-03-27,SCH0347
INSP00388,1.0,1.0,1.0,0.0,1.0,Ishaan Chandran,Average,2025-06-27,SCH0573
INSP01422,1.0,1.0,,1.0,0.0,George Rai,Good condition,2026-09-01,SCH0024
INSP00810,0.0,1.0,1.0,0.0,0.0,Ira Lall,,2025-10-25,SCH0511
INSP01953,0.0,,,0.0,1.0,Ria Ray,No remarks,2025-06-06,SCH0033
INSP02483,,1.0,1.0,1.0,1.0,Bhanumati Balay,Needs repair,2025-06-27,SCH0237
INSP00247,0.0,1.0,0.0,1.0,0.0,,Needs repair,2025-12-19,SCH0255
INSP01238,1.0,1.0,,1.0,1.0,Finn Oommen,No remarks,2025-05-20,SCH0211
INSP02432,1.0,,1.0,0.0,1.0,Lekha Khanna,Average,2025-08-05,SCH0406
INSP01150,,1.0,1.0,0.0,0.0,Abhimanyu Gopal,Needs repair,2025-10-09,SCH0432
INSP02168,0.0,1.0,1.0,1.0,0.0,Isha Nazareth,,2025-03-09,SCH0592
INSP00977,1.0,1.0,1.0,1.0,0.0,Samar Modi,Good condition,2025-08-28,SCH0305
INSP02500,1.0,1.0,1.0,1.0,,,Needs repair,2025-09-14,SCH0294
INSP02165,1.0,1.0,1.0,1.0,1.0,Vansha Mand,Toilets locked,2025-10-31,SCH0541
INSP00444,1.0,1.0,1.0,1.0,1.0,Abha Om,Toilets locked,2026-02-04,SCH0458
INSP02806,1.0,1.0,0.0,0.0,1.0,Abhiram Karnik,Needs repair,2025-12-10,SCH0599
INSP00565,1.0,0.0,1.0,1.0,0.0,Lohit Palan,Good condition,2025-07-21,SCH0573
INSP02093,1.0,1.0,1.0,1.0,1.0,Rudra Master,Toilets locked,2025-10-29,SCH0375
INSP00677,0.0,1.0,1.0,1.0,0.0,Turvi Agarwal,Needs repair,2025-11-04,SCH0143
INSP00880,1.0,1.0,1.0,,0.0,,Toilets locked,2025-07-08,SCH0590
INSP02660,1.0,1.0,0.0,1.0,,Nidra Bhatt,No remarks,2026-07-03,SCH0552
INSP01860,1.0,1.0,1.0,1.0,0.0,Onveer Kalla,Toilets locked,2025-08-17,SCH0576
INSP02795,1.0,1.0,1.0,1.0,0.0,Arin Seshadri,Average,2025-12-15,SCH0260
INSP00176,1.0,1.0,1.0,0.0,0.0,Tanay Master,Toilets locked,2025-11-13,SCH0556
INSP00556,,1.0,1.0,0.0,0.0,Banjeet Garde,Toilets locked,2025-06-16,SCH0479
INSP02222,1.0,1.0,1.0,,,Tanvi Gupta,Average,2025-11-19,SCH0140
INSP01557,0.0,1.0,1.0,1.0,1.0,Vidhi Dora,Good condition,2025-04-23,SCH0097
INSP02959,0.0,1.0,1.0,1.0,0.0,Zinal Halder,No remarks,2026-02-24,SCH0062
INSP02293,0.0,1.0,1.0,0.0,0.0,Janani Varkey,No remarks,2026-03-07,SCH0237
INSP01809,1.0,1.0,,0.0,1.0,Nathaniel Mani,Needs repair,2025-12-19,SCH0294
INSP00868,1.0,0.0,1.0,0.0,0.0,,Good condition,2025-04-09,SCH0321
