procurement_id,date,school_id,vendor_name,grain_type,quantity,unit,total_cost,payment_status
MDM005768,2025-11-19,SCH0395,Singh Brothers,Pulses,33.9,KG,1794.0,Pending
MDM007446,2025-09-10,SCH0198,goyal mill,Lentils,33.9,KG,3105.0,Pending
MDM010963,2026-01-16,SCH0294,goyal enterprises,Rice,33.9,KG,660.0,Pending
MDM007782,2025-07-08,SCH0170,Kumar General Store,Wheat,31.9,KG,1794.0,Pending
MDM000614,2026-01-22,SCH0291,Kumar General Store,Wheat,24.5,KG,735.0,Due
MDM003814,2026-03-19,SCH0337,kumar & co.,Rice,33.9,KG,1794.0,Paid
MDM005863,2025-08-01,SCH0021,Sharma Traders,cooking oil,33.9,KG,1524.0,Paid
MDM010837,2026-03-04,SCH0550,Goyal Rice Mill,Lentils,33.9,KG,5112.0,Paid
MDM010150,2026-02-22,SCH0184,singh agro,Rice,33.9,KG,564.0,Paid
MDM000430,2025-12-19,SCH0106,kumar & co.,Wheat,33.9,KG,1794.0,Paid
MDM009129,2026-02-19,SCH0452,Goyal Rice Mill,Lentils,34.2,KG,3078.0,Paid
MDM003080,2025-12-20,SCH0381,singh agro,Lentils,38.5,KG,3465.0,Pending
MDM001966,2025-04-16,SCH0588,goyal mill,Rice,33.9,KG,1208.0,Paid
MDM008138,2025-07-25,SCH0228,singh agro,Rice,33.9,KG,1856.0,Pending
MDM006110,2025-05-21,SCH0065,goyal enterprises,Lentils,33.9,KG,2790.0,Pending
MDM001787,2025-08-26,SCH0527,Kumar Supplies,Rice,33.9,KG,860.0,Paid
MDM000397,2025-10-13,SCH0200,goyal mill,oil,33.9,KG,3432.0,Pending
MDM006921,2025-04-26,SCH0083,goyal enterprises,sarson tel,33.9,KG,5964.0,Paid
MDM007202,2025-10-10,SCH0348,singh agro,Rice,33.9,KG,788.0,Paid
MDM006241,2025-10-07,SCH0550,goyal mill,Lentils,33.9,KG,1794.0,Due
MDM007898,2025-09-19,SCH0040,Sharma Traders,Wheat,11.5,KG,345.0,Paid
MDM008742,2025-08-10,SCH0178,Goyal Rice Mill,mustard oil,33.9,KG,1794.0,Pending
MDM011027,2025-08-15,SCH0298,Kumar Supplies,Lentils,33.9,KG,4221.0,Due
MDM000748,2026-03-07,SCH0193,sharma & sons,Lentils,20.2,KG,1794.0,Cleared
MDM004032,2025-05-10,SCH0015,goyal mill,Lentils,33.9,KG,1794.0,Pending
MDM001840,2025-06-20,SCH0253,Kumar Supplies,mustard oil,33.9,KG,1794.0,Due
MDM009241,2025-12-07,SCH0224,singh agro,Rice,25.1,KG,1004.0,Pending
MDM009254,2025-09-24,SCH0232,s. agro works,Lentils,33.9,KG,2772.0,Paid
MDM009913,2025-08-08,SCH0311,goyal enterprises,cooking oil,33.9,KG,1794.0,Pending
MDM003843,2025-02-11,SCH0233,Kumar General Store,mustard oil,33.9,KG,2700.0,Paid
MDM009141,2026-02-20,SCH0379,Goyal Rice Mill,Rice,33.9,KG,1794.0,Paid
MDM005653,2026-02-12,SCH0255,Sharma Traders,Lentils,33.9,KG,2439.0,Pending
MDM011077,2025-09-07,SCH0587,goyal mill,sarson tel,33.9,KG,1794.0,Paid
MDM005528,2025-12-29,SCH0277,Kumar Supplies,Wheat,33.9,KG,1494.0,Pending
MDM011976,2025-10-10,SCH0008,Singh Brothers,Lentils,33.9,KG,1794.0,Paid
MDM002772,2025-08-07,SCH0162,kumar & co.,Pulses,33.9,KG,4923.0,Pending
MDM004388,2025-06-22,SCH0154,s. agro works,Rice,33.9,KG,1056.0,Paid
MDM002902,2026-02-08,SCH0080,singh agro,mustard oil,33.9,KG,2820.0,Paid
MDM002465,2025-07-21,SCH0077,singh agro,Lentils,53.0,KG,1794.0,Pending
MDM007700,2026-02-09,SCH0081,singh agro,oil,33.9,KG,1794.0,Pending
MDM007554,2025-04-27,SCH0542,Kumar Supplies,Wheat,33.9,KG,1794.0,Pending
MDM001374,2026-01-09,SCH0366,s. agro works,mustard oil,33.9,KG,1794.0,Pending
MDM009028,2025-10-15,SCH0356,kumar & co.,cooking oil,33.9,KG,1794.0,Cleared
MDM001154,2026-01-18,SCH0221,Sharma Traders,Lentils,29.5,KG,2655.0,Paid
MDM009025,2026-02-23,SCH0548,s. agro works,Rice,33.9,KG,1080.0,Pending
MDM003205,2025-06-21,SCH0226,Kumar Supplies,mustard oil,33.9,KG,2364.0,Cleared
MDM005008,2025-07-02,SCH0059,Kumar General Store,Rice,33.9,KG,1794.0,Pending
MDM000219,2025-09-26,SCH0517,singh agro,sarson tel,33.9,KG,6948.0,Paid
MDM001143,2026-01-24,SCH0499,s. agro works,Wheat,52.1,KG,1563.0,Paid
MDM007106,2025-05-06,SCH0102,Sharma Traders,Lentils,33.9,KG,1794.0,Pending
MDM011378,2025-08-14,SCH0179,Sharma Traders,sarson tel,33.9,KG,5484.0,Pending
MDM011113,2026-03-16,SCH0443,Singh Brothers,Rice,33.9,KG,1216.0,Paid
MDM009449,2026-03-16,SCH0372,singh agro,Rice,33.9,KG,1794.0,Pending
MDM007601,2026-02-06,SCH0504,sharma & sons,Rice,33.9,KG,1592.0,Cleared
MDM011139,2026-02-18,SCH0020,Sharma Traders,Lentils,33.9,KG,2799.0,Paid
MDM004336,2026-01-11,SCH0079,sharma & sons,Lentils,32.9,KG,1794.0,Due
MDM005400,2025-05-05,SCH0041,goyal mill,oil,33.9,KG,1794.0,Due
MDM010937,2025-07-27,SCH0239,Goyal Rice Mill,Rice,25.3,KG,1794.0,Paid
MDM008996,2025-06-09,SCH0203,Sharma Traders,Wheat,33.9,KG,1794.0,Paid
MDM007616,2025-07-30,SCH0564,goyal enterprises,Lentils,33.9,KG,3105.0,Paid
MDM001714,2026-01-06,SCH0589,Kumar Supplies,Wheat,33.9,KG,1794.0,Paid
MDM008244,2025-09-11,SCH0595,goyal mill,atta,33.9,KG,753.0,Pending
MDM009279,2025-07-26,SCH0384,Singh Brothers,mustard oil,33.9,KG,1794.0,Cleared
MDM002334,2025-12-12,SCH0318,kumar & co.,Lentils,33.9,KG,2466.0,Paid
MDM008876,2025-04-18,SCH0144,s. agro works,Wheat,33.9,KG,510.0,Pending
MDM011298,2025-04-13,SCH0574,sharma & sons,Wheat,33.9,KG,522.0,Pending
MDM006621,2025-07-26,SCH0150,s. agro works,Rice,33.9,KG,1794.0,Cleared
MDM002565,2025-11-10,SCH0259,Singh Brothers,Rice,33.9,KG,1794.0,Paid
MDM010508,2025-04-12,SCH0578,Sharma Traders,oil,33.9,KG,4824.0,Paid
MDM003795,2025-09-05,SCH0595,Goyal Rice Mill,Wheat,33.9,KG,1554.0,Pending
MDM006302,2025-10-29,SCH0225,singh agro,Rice,33.9,KG,1794.0,Paid
MDM010965,2025-06-29,SCH0222,sharma & sons,Rice,33.9,KG,1794.0,Pending
MDM006190,2025-12-27,SCH0155,Kumar General Store,mustard oil,43.2,KG,1794.0,Paid
MDM003753,2025-09-11,SCH0343,Goyal Rice Mill,Rice,33.9,KG,1120.0,Paid
MDM008526,2025-07-26,SCH0327,singh agro,Rice,33.9,KG,1012.0,Paid
MDM006703,2025-12-27,SCH0168,Sharma Traders,Lentils,33.9,KG,4797.0,Paid
MDM004101,2025-08-24,SCH0056,Singh Brothers,sarson tel,33.9,KG,1794.0,Paid
MDM000136,2026-01-13,SCH0206,Sharma Traders,mustard oil,33.9,KG,1794.0,Paid
MDM011912,2025-04-26,SCH0561,Kumar Supplies,Lentils,33.9,KG,4464.0,Cleared
MDM008652,2026-01-24,SCH0496,Sharma Traders,sarson tel,33.9,KG,1272.0,Pending
MDM000980,2025-05-13,SCH0562,Sharma Traders,atta,20.3,KG,1794.0,Paid
MDM002928,2025-08-13,SCH0115,kumar & co.,mustard oil,33.9,KG,6468.0,Pending
MDM000009,2025-09-23,SCH0248,Singh Brothers,Rice,33.9,KG,900.0,Due
MDM003232,2025-04-24,SCH0560,Kumar General Store,Lentils,33.9,KG,4887.0,Pending
MDM008840,2025-09-15,SCH0503,Sharma Traders,Pulses,56.3,KG,5067.0,Pending
MDM000380,2026-01-31,SCH0137,goyal mill,Rice,39.6,KG,1584.0,Pending
MDM002389,2025-07-30,SCH0519,Goyal Rice Mill,Lentils,44.2,KG,1794.0,Due
MDM006673,2026-03-16,SCH0265,Goyal Rice Mill,oil,33.9,KG,1794.0,Pending
MDM007403,2026-03-17,SCH0032,goyal mill,atta,33.9,KG,1794.0,Paid
MDM006560,2025-10-26,SCH0348,goyal enterprises,cooking oil,33.9,KG,1794.0,Paid
MDM007294,2025-04-28,SCH0501,goyal mill,Wheat,33.9,KG,1794.0,Due
MDM010114,2026-01-13,SCH0277,goyal mill,Wheat,33.9,KG,1794.0,Paid
MDM002352,2025-09-13,SCH0427,Singh Brothers,Lentils,33.9,KG,3645.0,Cleared
MDM011134,2025-10-09,SCH0166,s. agro works,Wheat,25.3,KG,1794.0,Pending
MDM000458,2025-11-29,SCH0122,Goyal Rice Mill,Lentils,33.9,KG,3987.0,Paid
MDM007587,2026-03-18,SCH0539,Singh Brothers,Lentils,33.9,KG,4365.0,Paid
MDM011249,2025-06-07,SCH0039,goyal enterprises,Lentils,33.9,KG,1794.0,Due
MDM001040,2025-09-08,SCH0361,Sharma Traders,Rice,32.7,KG,1308.0,Due
MDM003373,2026-01-07,SCH0216,sharma & sons,mustard oil,33.9,KG,1416.0,Paid
MDM004605,2025-08-26,SCH0125,goyal enterprises,Lentils,33.9,KG,1794.0,Due
MDM011853,2025-04-24,SCH0497,Kumar General Store,Rice,33.9,KG,1794.0,Paid
MDM004157,2025-10-10,SCH0453,goyal enterprises,sarson tel,33.9,KG,3060.0,Paid
MDM001044,2026-01-14,SCH0488,Goyal Rice Mill,Wheat,33.9,KG,1794.0,Due
MDM010514,2025-12-10,SCH0319,kumar & co.,Wheat,33.9,KG,1794.0,Paid
MDM000100,2025-08-07,SCH0409,Goyal Rice Mill,sarson tel,33.9,KG,5700.0,Paid
MDM005818,2025-10-21,SCH0295,Goyal Rice Mill,sarson tel,48.2,KG,5784.0,Cleared
MDM011621,2025-12-04,SCH0539,sharma & sons,Lentils,33.9,KG,3447.0,Cleared
MDM006619,2025-07-06,SCH0043,singh agro,Rice,33.9,KG,1084.0,Cleared
MDM002020,2025-11-28,SCH0439,goyal enterprises,Lentils,33.9,KG,1794.0,Paid
MDM010402,2025-07-15,SCH0378,kumar & co.,oil,33.9,KG,5532.0,Paid
MDM009864,2025-10-21,SCH0118,sharma & sons,sarson tel,33.9,KG,4692.0,Pending
MDM008538,2025-05-18,SCH0541,singh agro,Rice,33.9,KG,516.0,Paid
MDM005841,2025-07-25,SCH0468,Sharma Traders,atta,33.9,KG,1359.0,Pending
MDM004025,2025-07-04,SCH0546,Kumar General Store,Lentils,33.9,KG,3843.0,Paid
MDM004554,2025-10-04,SCH0539,kumar & co.,Rice,33.9,KG,1794.0,Paid
MDM007721,2025-09-09,SCH0234,s. agro works,Wheat,33.9,KG,1026.0,Paid
MDM002151,2026-03-27,SCH0019,sharma & sons,Wheat,33.9,KG,1212.0,Paid
MDM004246,2025-12-11,SCH0585,Singh Brothers,Wheat,41.6,KG,1248.0,Paid
MDM009847,2026-01-17,SCH0314,Goyal Rice Mill,Lentils,10.9,KG,1794.0,Due
MDM007175,2025-10-06,SCH0545,Goyal Rice Mill,Rice,36.0,KG,1440.0,Pending
MDM005280,2025-07-02,SCH0457,Sharma Traders,sarson tel,33.9,KG,5088.0,Paid
MDM004499,2025-09-27,SCH0264,Kumar Supplies,Lentils,33.9,KG,3806.0,Cleared
MDM009564,2025-06-12,SCH0227,sharma & sons,cooking oil,15.5,KG,1794.0,Due
MDM006182,2025-11-02,SCH0311,sharma & sons,Rice,33.9,KG,1794.0,Pending
MDM003283,2025-10-29,SCH0323,sharma & sons,atta,33.9,KG,1515.0,Due
MDM011056,2025-10-12,SCH0079,singh agro,Rice,33.9,KG,864.0,Due
MDM006663,2025-11-28,SCH0056,sharma & sons,Rice,33.9,KG,1794.0,Paid
MDM004920,2025-06-16,SCH0431,Kumar Supplies,Wheat,33.9,KG,1548.0,Pending
MDM005991,2025-12-02,SCH0368,singh agro,Rice,33.9,KG,1794.0,Cleared
MDM011229,2025-09-30,SCH0589,Kumar Supplies,Rice,33.9,KG,1684.0,Pending
MDM010619,2025-04-01,SCH0434,sharma & sons,oil,33.9,KG,1794.0,Paid
MDM005782,2026-02-01,SCH0229,goyal mill,cooking oil,33.9,KG,4092.0,Paid
MDM002251,2025-10-15,SCH0357,Singh Brothers,Rice,13.7,KG,548.0,Pending
MDM008442,2025-04-23,SCH0598,goyal mill,sarson tel,33.9,KG,1794.0,Due
MDM007699,2025-07-25,SCH0598,kumar & co.,Wheat,33.9,KG,498.0,Pending
MDM001663,2025-08-01,SCH0404,Singh Brothers,Lentils,38.2,KG,3438.0,Due
MDM001594,2025-10-31,SCH0481,sharma & sons,mustard oil,33.9,KG,2820.0,Paid
MDM002088,2026-02-26,SCH0208,Kumar General Store,Lentils,33.9,KG,2079.0,Cleared
MDM002583,2025-08-14,SCH0364,Singh Brothers,oil,33.9,KG,1794.0,Paid
MDM006674,2025-08-18,SCH0588,Goyal Rice Mill,oil,33.9,KG,1308.0,Cleared
MDM000361,2025-05-21,SCH0203,goyal mill,Pulses,33.9,KG,1044.0,Cleared
MDM006339,2026-03-30,SCH0218,s. agro works,sarson tel,48.1,KG,5772.0,Due
MDM008762,2025-11-19,SCH0597,Kumar Supplies,Rice,44.8,KG,1792.0,Pending
MDM010486,2025-06-23,SCH0197,Sharma Traders,sarson tel,33.9,KG,1794.0,Paid
MDM010641,2025-11-05,SCH0064,sharma & sons,atta,33.9,KG,525.0,Paid
MDM008804,2025-04-26,SCH0423,Singh Brothers,Lentils,33.9,KG,1794.0,Paid
MDM009550,2026-02-03,SCH0345,Kumar General Store,Pulses,33.9,KG,4707.0,Pending
MDM004149,2025-05-19,SCH0553,kumar & co.,Rice,33.9,KG,1732.0,Paid
MDM000034,2025-04-06,SCH0352,sharma & sons,oil,33.9,KG,1794.0,Pending
MDM007697,2025-05-21,SCH0424,Goyal Rice Mill,Lentils,33.9,KG,3951.0,Paid
MDM002311,2026-01-29,SCH0146,goyal enterprises,cooking oil,33.9,KG,1794.0,Due
MDM002143,2025-12-02,SCH0299,kumar & co.,Rice,33.9,KG,1794.0,Pending
MDM009391,2025-02-12,SCH0226,sharma & sons,mustard oil,33.9,KG,1596.0,Pending
MDM011455,2025-09-29,SCH0588,sharma & sons,Wheat,33.9,KG,843.0,Paid
MDM008537,2026-01-13,SCH0572,Kumar General Store,Rice,33.9,KG,2228.0,Pending
MDM000103,2025-06-15,SCH0194,Singh Brothers,sarson tel,15.6,KG,1872.0,Due
MDM003529,2026-01-18,SCH0288,Goyal Rice Mill,Rice,33.9,KG,1794.0,Paid
MDM010480,2025-06-18,SCH0180,goyal enterprises,Wheat,33.9,KG,1794.0,Paid
MDM005848,2026-03-14,SCH0436,Sharma Traders,Lentils,33.9,KG,4176.0,Paid
MDM008575,2025-10-04,SCH0137,Kumar General Store,Wheat,33.9,KG,1263.0,Pending
