record_id,grade,total_students,present_students,marked_by,attendance_count_anomaly,attendance_rate,date,day_of_week,is_sunday,proxy_attendance_flag,school_id,teacher_present
ATT0010130,1,273,205,,False,75.0915750915751,2026-03-03,Tuesday,False,False,SCH0572,1.0
ATT0002302,4,135,96,Headmaster,False,71.11111111111111,2026-03-25,Wednesday,False,False,SCH0453,1.0
ATT0008115,1,140,125,Clerk,False,89.28571428571429,2025-10-31,Friday,False,False,SCH0203,1.0
ATT0011369,5,284,183,Clerk,False,64.43661971830986,2025-06-10,Tuesday,False,False,SCH0215,1.0
ATT0013204,6,254,182,Headmaster,False,71.65354330708661,2025-09-30,Tuesday,False,False,SCH0083,1.0
ATT0014748,8,284,270,Clerk,False,95.07042253521126,2026-02-27,Friday,False,False,SCH0418,1.0
ATT0009013,5,257,173,Headmaster,False,67.31517509727627,2025-10-10,Friday,False,False,SCH0300,1.0
ATT0012196,2,215,183,Class Teacher,False,85.11627906976744,2026-12-03,Thursday,False,False,SCH0400,1.0
ATT0014093,3,267,213,,False,79.7752808988764,2025-05-29,Thursday,False,False,SCH0253,1.0
ATT0010139,1,126,80,Headmaster,False,63.49206349206349,2025-10-08,Wednesday,False,False,SCH0534,1.0
ATT0016398,7,258,178,Headmaster,False,68.9922480620155,2026-01-13,Tuesday,False,False,SCH0537,1.0
ATT0010481,4,86,70,Clerk,False,81.3953488372093,2025-05-07,Wednesday,False,False,SCH0363,1.0
ATT0007137,7,95,87,,False,91.57894736842105,2025-05-15,Thursday,False,False,SCH0414,1.0
,6,112,84,Class Teacher,False,75.0,2026-02-24,Tuesday,False,False,SCH0012,1.0
ATT0012018,3,202,157,Headmaster,False,77.72277227722772,2025-08-13,Wednesday,False,False,SCH0265,1.0
ATT0019081,3,246,181,Admin,False,73.57723577235772,2025-09-08,Monday,False,False,SCH0309,1.0
ATT0016530,9,217,179,Headmaster,False,82.48847926267281,2025-04-22,Tuesday,False,False,SCH0166,1.0
ATT0012828,7,182,128,,False,70.32967032967034,2026-02-18,Wednesday,False,False,SCH0385,0.0
ATT0014175,4,196,185,Headmaster,False,94.38775510204081,2025-06-15,Sunday,True,False,SCH0213,1.0
ATT0005035,2,174,145,Clerk,False,83.33333333333334,2025-07-22,Tuesday,False,False,SCH0099,1.0
ATT0005655,2,183,146,Clerk,False,79.78142076502732,2025-07-21,Monday,False,False,SCH0289,1.0
ATT0014219,3,186,153,Headmaster,False,82.25806451612904,2025-07-04,Friday,False,False,SCH0397,1.0
ATT0018689,2,190,157,Admin,False,82.63157894736842,2025-10-23,Thursday,False,False,SCH0213,
ATT0011622,6,134,89,,False,66.4179104477612,2026-03-18,Wednesday,False,False,SCH0205,1.0
ATT0018888,5,154,140,Class Teacher,False,90.9090909090909,2025-09-04,Thursday,False,False,SCH0298,1.0
ATT0010713,5,299,315,Class Teacher,True,105.35117056856187,2025-08-17,Sunday,True,False,SCH0235,1.0
ATT0017567,4,267,231,,False,86.51685393258427,2026-01-24,Saturday,False,False,SCH0059,1.0
ATT0007223,8,63,55,Class Teacher,False,87.3015873015873,2025-10-29,Wednesday,False,False,SCH0381,1.0
ATT0003740,1,161,109,Class Teacher,False,67.70186335403726,2025-08-25,Monday,False,False,SCH0131,1.0
ATT0002196,5,153,153,Class Teacher,False,100.0,2026-02-25,Wednesday,False,False,SCH0470,1.0
ATT0008740,2,160,131,,False,81.875,2026-01-01,Thursday,False,False,SCH0596,1.0
ATT0012217,4,51,45,Class Teacher,False,88.23529411764706,2025-04-16,Wednesday,False,False,SCH0132,1.0
ATT0014927,1,77,65,Headmaster,False,84.4155844155844,2025-05-13,Tuesday,False,False,SCH0593,1.0
ATT0014708,4,110,69,Clerk,False,62.727272727272734,2026-03-07,Saturday,False,False,SCH0371,1.0
ATT0009416,9,266,260,Headmaster,False,97.74436090225564,2025-11-08,Saturday,False,False,SCH0345,1.0
ATT0006308,1,197,179,Admin,False,90.86294416243655,2025-07-08,Tuesday,False,False,SCH0148,
ATT0013099,8,129,122,,False,94.57364341085271,2025-10-09,Thursday,False,False,SCH0194,1.0
ATT0019041,2,89,65,Headmaster,False,73.03370786516854,2025-04-15,Tuesday,False,False,SCH0210,1.0
ATT0018193,7,84,69,Clerk,False,82.14285714285714,2026-02-24,Tuesday,False,False,SCH0486,0.0
ATT0001088,6,115,80,Clerk,False,69.56521739130434,2025-05-16,Friday,False,False,SCH0038,1.0
ATT0013698,2,143,126,Admin,False,88.11188811188812,2025-07-08,Tuesday,False,False,SCH0061,0.0
ATT0019226,6,252,153,Clerk,False,60.71428571428571,2026-03-19,Thursday,False,False,SCH0507,1.0
ATT0005763,4,139,124,Headmaster,False,89.20863309352518,2025-06-13,Friday,False,False,SCH0535,1.0
ATT0008627,3,236,162,Admin,False,68.64406779661016,2025-11-20,Thursday,False,False,SCH0042,1.0
ATT0016608,4,270,163,Headmaster,False,60.370370370370374,2025-06-16,Monday,False,False,SCH0539,1.0
ATT0016748,8,257,249,Headmaster,False,96.88715953307393,2025-05-13,Tuesday,False,False,SCH0550,1.0
ATT0014371,7,293,198,Headmaster,False,67.57679180887372,2026-01-14,Wednesday,False,False,SCH0351,1.0
ATT0006789,10,238,196,Headmaster,False,82.35294117647058,2025-05-21,Wednesday,False,False,SCH0537,1.0
ATT0019295,3,76,73,Clerk,False,96.05263157894737,2026-02-19,Thursday,False,False,SCH0256,1.0
ATT0015631,6,250,201,,False,80.4,2026-02-26,Thursday,False,False,SCH0527,1.0
ATT0003352,4,177,109,Clerk,False,61.5819209039548,2025-06-24,Tuesday,False,False,SCH0558,1.0
ATT0013112,4,184,122,Clerk,False,66.30434782608695,2026-03-27,Friday,False,False,SCH0014,1.0
ATT0000342,4,233,204,Class Teacher,False,87.55364806866953,2026-03-23,Monday,False,False,SCH0024,1.0
ATT0002381,1,78,47,Clerk,False,60.256410256410255,2025-06-12,Thursday,False,False,SCH0012,1.0
ATT0014806,9,114,72,Headmaster,False,63.1578947368421,2025-04-07,Monday,False,False,SCH0437,1.0
ATT0014906,1,174,168,Admin,False,96.55172413793103,2026-08-02,Sunday,True,False,SCH0488,1.0
ATT0017596,2,259,250,Admin,False,96.52509652509652,2025-06-23,Monday,False,False,SCH0317,1.0
ATT0008727,7,138,86,,False,62.31884057971014,2026-02-24,Tuesday,False,False,SCH0024,0.0
ATT0016450,3,236,236,Class Teacher,False,100.0,2026-03-22,Sunday,True,True,SCH0596,1.0
ATT0002306,3,45,41,Headmaster,False,91.11111111111111,2025-11-10,Monday,False,False,SCH0271,0.0
ATT0012052,4,289,188,Class Teacher,False,65.05190311418684,2026-02-06,Friday,False,False,SCH0367,1.0
ATT0003480,3,147,97,Clerk,False,65.98639455782312,2025-05-20,Tuesday,False,False,SCH0295,1.0
ATT0009137,1,173,152,Clerk,False,87.86127167630057,2026-02-17,Tuesday,False,False,SCH0139,0.0
ATT0007525,9,261,188,,False,72.03065134099617,2025-12-13,Saturday,False,False,SCH0206,1.0
ATT0010353,3,131,82,,False,62.59541984732825,2025-06-12,Thursday,False,False,SCH0289,1.0
ATT0012107,1,214,214,Class Teacher,False,100.0,2025-04-13,Sunday,True,True,SCH0172,1.0
ATT0015379,4,84,80,Admin,False,95.23809523809523,2025-05-12,Monday,False,False,SCH0246,1.0
ATT0019606,10,55,42,,False,76.36363636363637,2025-08-05,Tuesday,False,False,SCH0392,1.0
ATT0016832,10,61,40,Clerk,False,65.57377049180327,2025-11-18,Tuesday,False,False,SCH0031,1.0
ATT0013190,1,156,156,Clerk,False,100.0,2025-09-19,Friday,False,False,SCH0450,1.0
ATT0003799,1,92,104,Clerk,True,113.04347826086956,2026-11-01,Sunday,True,False,SCH0225,1.0
ATT0015816,8,187,187,Class Teacher,False,100.0,2025-05-04,Sunday,True,True,SCH0380,1.0
ATT0019080,5,190,179,Headmaster,False,94.21052631578948,2025-07-23,Wednesday,False,False,SCH0107,1.0
ATT0016929,3,279,227,Clerk,False,81.36200716845879,2025-09-09,Tuesday,False,False,SCH0038,1.0
ATT0003669,5,299,244,Headmaster,False,81.60535117056857,2025-11-24,Monday,False,False,SCH0048,1.0
ATT0018433,4,134,93,Headmaster,False,69.40298507462687,2025-09-08,Monday,False,False,SCH0452,1.0
ATT0006326,3,63,58,Headmaster,False,92.06349206349206,2025-11-21,Friday,False,False,SCH0366,1.0
ATT0013584,4,64,64,,False,100.0,2025-11-30,Sunday,True,True,SCH0068,1.0
ATT0000134,5,83,50,Headmaster,False,60.24096385542169,2026-02-26,Thursday,False,False,SCH0036,1.0
ATT0013830,5,197,152,Headmaster,False,77.15736040609137,2026-02-07,Saturday,False,False,SCH0124,0.0
ATT0013856,8,177,138,Headmaster,False,77.96610169491525,2025-04-21,Monday,False,False,SCH0448,
ATT0003779,2,129,91,Class Teacher,False,70.54263565891473,2025-04-25,Friday,False,False,SCH0040,0.0
ATT0000386,2,132,119,Headmaster,False,90.15151515151516,2025-04-16,Wednesday,False,False,SCH0105,1.0
ATT0012462,6,183,143,,False,78.14207650273224,2025-08-12,Tuesday,False,False,SCH0032,0.0
ATT0011447,4,46,38,Admin,False,82.6086956521739,2025-05-09,Friday,False,False,SCH0097,1.0
ATT0002172,2,298,229,Headmaster,False,76.84563758389261,2025-07-14,Monday,False,False,SCH0004,
ATT0019703,2,248,200,Admin,False,80.64516129032258,2025-11-08,Saturday,False,False,SCH0141,1.0
ATT0015261,2,166,166,Headmaster,False,100.0,2025-09-21,Sunday,True,True,SCH0048,
ATT0005663,10,60,44,Clerk,False,73.33333333333333,2025-07-28,Monday,False,False,SCH0328,1.0
ATT0001356,3,60,39,Headmaster,False,65.0,2025-06-27,Friday,False,False,SCH0523,1.0
ATT0002086,5,240,233,,False,97.08333333333333,2025-11-22,Saturday,False,False,SCH0334,1.0
ATT0019163,3,196,189,Clerk,False,96.42857142857143,2025-09-27,Saturday,False,False,SCH0008,1.0
ATT0010361,7,188,134,,False,71.27659574468085,2025-08-21,Thursday,False,False,SCH0180,1.0
ATT0011548,3,271,224,Clerk,False,82.65682656826569,2025-07-04,Friday,False,False,SCH0155,1.0
ATT0002387,1,203,141,Admin,False,69.45812807881774,2025-12-05,Friday,False,False,SCH0412,1.0
ATT0012785,10,156,114,Admin,False,73.07692307692307,2025-04-26,Saturday,False,False,SCH0193,1.0
ATT0000475,3,292,204,Class Teacher,False,69.86301369863014,2025-11-14,Friday,False,False,SCH0377,0.0
ATT0003435,8,63,57,Admin,False,90.47619047619048,2025-12-26,Friday,False,False,SCH0067,1.0
ATT0005306,5,256,205,Class Teacher,False,80.078125,2025-04-04,Friday,False,False,SCH0249,1.0
ATT0008088,5,198,175,Headmaster,False,88.38383838383838,2025-12-05,Friday,False,False,SCH0552,1.0
ATT0004843,7,143,99,Headmaster,False,69.23076923076923,2025-06-06,Friday,False,False,SCH0075,1.0
ATT0013436,10,70,53,Headmaster,False,75.71428571428571,2026-02-16,Monday,False,False,SCH0329,1.0
ATT0007882,6,137,145,Headmaster,True,105.83941605839415,2025-11-21,Friday,False,False,SCH0136,1.0
ATT0006291,2,228,164,Admin,False,71.9298245614035,2025-11-04,Tuesday,False,False,SCH0361,1.0
ATT0012561,3,106,106,Class Teacher,False,100.0,2026-02-16,Monday,False,False,SCH0128,1.0
ATT0002504,4,209,165,Class Teacher,False,78.94736842105263,2026-11-02,Monday,False,False,SCH0092,0.0
ATT0007290,1,185,145,Headmaster,False,78.37837837837837,2025-02-10,Monday,False,False,SCH0271,1.0
ATT0015715,3,67,52,Headmaster,False,77.61194029850746,2025-12-24,Wednesday,False,False,SCH0348,1.0
ATT0016429,6,41,41,Class Teacher,False,100.0,2025-11-02,Sunday,True,True,SCH0488,1.0
ATT0000745,8,166,112,,False,67.46987951807229,2025-05-31,Saturday,False,False,SCH0584,1.0
ATT0017944,8,239,188,Headmaster,False,78.66108786610879,2026-03-16,Monday,False,False,SCH0372,1.0
ATT0017881,5,240,208,Headmaster,False,86.66666666666667,2025-06-02,Monday,False,False,SCH0493,1.0
ATT0015453,9,56,69,Clerk,True,123.21428571428572,2025-06-30,Monday,False,False,SCH0202,1.0
ATT0010552,3,290,252,Clerk,False,86.89655172413792,2025-10-18,Saturday,False,False,SCH0382,1.0
ATT0019746,10,119,119,Headmaster,False,100.0,2025-11-16,Sunday,True,True,SCH0597,1.0
ATT0002326,1,132,127,Clerk,False,96.21212121212122,2025-11-19,Wednesday,False,False,SCH0168,1.0
ATT0009961,8,155,105,Clerk,False,67.74193548387096,2026-03-11,Wednesday,False,False,SCH0118,0.0
ATT0018383,5,205,192,Headmaster,False,93.65853658536587,2025-08-30,Saturday,False,False,SCH0532,1.0
ATT0016506,9,46,31,Headmaster,False,67.3913043478261,2025-09-20,Saturday,False,False,SCH0469,1.0
ATT0012139,5,160,176,Headmaster,True,110.00000000000001,2026-01-25,Sunday,True,False,SCH0417,1.0
ATT0016665,4,169,114,Admin,False,67.45562130177515,2025-04-21,Monday,False,False,SCH0575,1.0
ATT0017392,2,270,270,Class Teacher,False,100.0,2025-06-04,Wednesday,False,False,SCH0303,
ATT0001167,3,244,178,Headmaster,False,72.95081967213115,2025-11-01,Saturday,False,False,SCH0540,1.0
ATT0009962,5,277,177,Class Teacher,False,63.898916967509024,2025-07-23,Wednesday,False,False,SCH0082,1.0
ATT0006135,10,162,155,Clerk,False,95.67901234567901,2025-08-13,Wednesday,False,False,SCH0389,1.0
ATT0009816,1,239,146,Admin,False,61.08786610878661,2026-02-06,Friday,False,False,SCH0032,1.0
ATT0005672,5,182,151,Headmaster,False,82.96703296703298,2026-03-21,Saturday,False,False,SCH0012,1.0
ATT0006798,2,121,79,,False,65.28925619834712,2025-08-14,Thursday,False,False,SCH0549,1.0
ATT0007859,7,192,149,Class Teacher,False,77.60416666666666,2026-01-17,Saturday,False,False,SCH0362,0.0
ATT0011552,6,144,117,Class Teacher,False,81.25,2025-07-04,Friday,False,False,SCH0102,1.0
ATT0018220,3,49,32,Class Teacher,False,65.3061224489796,2025-07-05,Saturday,False,False,SCH0217,1.0
ATT0007537,4,115,101,Headmaster,False,87.82608695652175,2026-02-28,Saturday,False,False,SCH0464,1.0
ATT0017089,8,136,122,Class Teacher,False,89.70588235294117,2025-04-12,Saturday,False,False,SCH0133,0.0
ATT0008467,8,299,232,Clerk,False,77.59197324414716,2025-04-27,Sunday,True,False,SCH0297,0.0
ATT0017746,5,287,205,Class Teacher,False,71.42857142857143,2026-03-28,Saturday,False,False,SCH0083,1.0
ATT0011454,1,261,252,Clerk,False,96.55172413793103,2025-10-14,Tuesday,False,False,SCH0547,0.0
ATT0004950,5,70,57,Headmaster,False,81.42857142857143,2025-06-23,Monday,False,False,SCH0486,1.0
ATT0013625,1,225,165,Clerk,False,73.33333333333333,2025-12-28,Sunday,True,False,SCH0344,1.0
ATT0019973,1,161,139,Class Teacher,False,86.33540372670807,2025-04-17,Thursday,False,False,SCH0292,1.0
ATT0012615,8,258,157,Headmaster,False,60.85271317829457,2025-10-21,Tuesday,False,False,SCH0318,1.0
ATT0004439,5,135,120,Clerk,False,88.88888888888889,2026-03-31,Tuesday,False,False,SCH0532,0.0
ATT0006632,6,161,126,Class Teacher,False,78.26086956521739,2025-10-28,Tuesday,False,False,SCH0136,1.0
ATT0002752,2,221,174,Class Teacher,False,78.73303167420815,2025-07-10,Thursday,False,False,SCH0234,0.0
ATT0016471,1,297,267,Clerk,False,89.8989898989899,2025-10-15,Wednesday,False,False,SCH0235,1.0
ATT0006557,3,142,159,Class Teacher,True,111.9718309859155,2025-11-08,Saturday,False,False,SCH0538,1.0
,9,138,115,Clerk,False,83.33333333333334,2026-03-23,Monday,False,False,SCH0565,1.0
ATT0016793,8,135,99,Headmaster,False,73.33333333333333,2025-08-08,Friday,False,False,SCH0019,1.0
ATT0005422,4,161,145,Class Teacher,False,90.06211180124224,2025-12-27,Saturday,False,False,SCH0255,1.0
ATT0011991,7,69,65,,False,94.20289855072464,2025-08-23,Saturday,False,False,SCH0309,1.0
ATT0000564,2,166,166,Admin,False,100.0,2025-04-29,Tuesday,False,False,SCH0441,1.0
,3,128,139,Clerk,True,108.59375,2025-06-12,Thursday,False,False,SCH0231,1.0
ATT0009691,1,57,41,Headmaster,False,71.9298245614035,2025-07-29,Tuesday,False,False,SCH0283,
ATT0018752,5,155,155,Headmaster,False,100.0,2025-04-05,Saturday,False,False,SCH0079,1.0
ATT0013496,5,59,59,Admin,False,100.0,2025-10-05,Sunday,True,True,SCH0076,1.0
ATT0004220,3,131,131,Class Teacher,False,100.0,2025-04-20,Sunday,True,True,SCH0458,1.0
,1,273,214,Headmaster,False,78.3882783882784,2025-08-04,Monday,False,False,SCH0406,1.0
ATT0006358,2,221,214,Admin,False,96.83257918552036,2025-10-13,Monday,False,False,SCH0333,1.0
ATT0004548,1,293,278,,False,94.88054607508532,2025-02-04,Tuesday,False,False,SCH0162,1.0
,8,202,202,Clerk,False,100.0,2025-07-09,Wednesday,False,False,SCH0322,1.0
ATT0002938,5,204,156,Clerk,False,76.47058823529412,2025-08-13,Wednesday,False,False,SCH0575,0.0
ATT0016043,9,255,165,Admin,False,64.70588235294117,2025-10-16,Thursday,False,False,SCH0463,1.0
ATT0009359,4,257,229,Admin,False,89.10505836575877,2026-03-25,Wednesday,False,False,SCH0284,0.0
ATT0013079,1,54,40,,False,74.07407407407408,2025-06-20,Friday,False,False,SCH0210,0.0
ATT0015003,2,196,176,Headmaster,False,89.79591836734694,2026-01-01,Thursday,False,False,SCH0120,1.0
ATT0019801,8,196,165,Admin,False,84.18367346938776,2025-10-20,Monday,False,False,SCH0550,1.0
ATT0005377,2,76,53,Headmaster,False,69.73684210526315,2025-04-11,Friday,False,False,SCH0303,1.0
ATT0005478,1,209,225,Headmaster,True,107.65550239234449,2026-08-02,Sunday,True,False,SCH0305,1.0
ATT0019212,10,246,246,Clerk,False,100.0,2025-11-29,Saturday,False,False,SCH0145,1.0
ATT0017465,5,227,196,Headmaster,False,86.34361233480176,2025-07-10,Thursday,False,False,SCH0034,1.0
ATT0003949,3,236,218,Headmaster,False,92.37288135593221,2025-10-16,Thursday,False,False,SCH0298,1.0
ATT0008542,2,137,101,Clerk,False,73.72262773722628,2025-09-29,Monday,False,False,SCH0161,
ATT0008118,2,300,225,Headmaster,False,75.0,2025-06-12,Thursday,False,False,SCH0028,1.0
ATT0000777,5,209,151,Class Teacher,False,72.24880382775119,2026-11-01,Sunday,True,False,SCH0167,1.0
ATT0016135,7,51,51,Headmaster,False,100.0,2025-07-27,Sunday,True,True,SCH0580,1.0
ATT0004731,4,98,72,Headmaster,False,73.46938775510205,2025-04-07,Monday,False,False,SCH0574,1.0
ATT0006219,4,203,125,Admin,False,61.57635467980296,2025-08-13,Wednesday,False,False,SCH0192,1.0
ATT0015102,5,212,157,Class Teacher,False,74.05660377358491,2025-05-30,Friday,False,False,SCH0093,1.0
ATT0003001,8,168,168,Admin,False,100.0,2025-11-16,Sunday,True,True,SCH0533,1.0
ATT0005863,5,77,49,Admin,False,63.63636363636363,2026-01-26,Monday,False,False,SCH0014,1.0
ATT0018506,3,125,102,Class Teacher,False,81.6,2026-03-22,Sunday,True,False,SCH0548,0.0
ATT0009615,7,112,68,,False,60.71428571428571,2025-04-04,Friday,False,False,SCH0391,0.0
ATT0013003,3,45,42,,False,93.33333333333333,2025-03-05,Wednesday,False,False,SCH0316,0.0
ATT0011128,8,106,74,Headmaster,False,69.81132075471697,2025-08-19,Tuesday,False,False,SCH0445,
ATT0002120,5,90,90,Class Teacher,False,100.0,2025-12-02,Tuesday,False,False,SCH0191,1.0
ATT0017627,5,252,191,,False,75.79365079365078,2025-08-22,Friday,False,False,SCH0475,1.0
ATT0016319,4,119,99,Clerk,False,83.19327731092437,2025-06-07,Saturday,False,False,SCH0061,1.0
ATT0002754,4,237,155,Class Teacher,False,65.40084388185655,2025-04-21,Monday,False,False,SCH0106,1.0
ATT0016898,3,51,37,,False,72.54901960784314,2025-09-05,Friday,False,False,SCH0106,1.0
ATT0004521,2,95,76,,False,80.0,2025-08-30,Saturday,False,False,SCH0490,1.0
ATT0002458,9,93,74,Clerk,False,79.56989247311827,2025-06-11,Wednesday,False,False,SCH0060,1.0
ATT0013853,1,180,126,Clerk,False,70.0,2025-12-29,Monday,False,False,SCH0382,0.0
ATT0008482,8,108,80,Clerk,False,74.07407407407408,2025-06-04,Wednesday,False,False,SCH0071,1.0
ATT0012100,7,127,91,Admin,False,71.65354330708661,2025-03-10,Monday,False,False,SCH0423,0.0
ATT0011960,7,212,133,Clerk,False,62.735849056603776,2025-10-23,Thursday,False,False,SCH0438,1.0
ATT0008070,4,159,102,Clerk,False,64.15094339622641,2025-05-05,Monday,False,False,SCH0299,1.0
ATT0007257,7,268,222,Headmaster,False,82.83582089552239,2025-08-04,Monday,False,False,SCH0076,1.0
ATT0009490,2,229,240,Admin,True,104.80349344978166,2025-06-25,Wednesday,False,False,SCH0397,1.0
ATT0014936,4,228,219,Class Teacher,False,96.05263157894737,2025-02-07,Friday,False,False,SCH0148,1.0
ATT0014130,5,66,63,Admin,False,95.45454545454545,2025-06-27,Friday,False,False,SCH0168,1.0
ATT0018191,6,79,79,Headmaster,False,100.0,2025-04-19,Saturday,False,False,SCH0157,1.0
ATT0016328,4,93,69,Headmaster,False,74.19354838709677,2025-07-07,Monday,False,False,SCH0085,
ATT0015663,5,186,145,Admin,False,77.95698924731182,2026-03-19,Thursday,False,False,SCH0041,1.0
ATT0015364,7,276,213,Headmaster,False,77.17391304347827,2025-12-13,Saturday,False,False,SCH0308,1.0
ATT0013039,4,225,158,Clerk,False,70.22222222222221,2025-06-12,Thursday,False,False,SCH0571,1.0
ATT0003283,8,91,64,Clerk,False,70.32967032967034,2025-11-01,Saturday,False,False,SCH0068,0.0
ATT0012182,1,68,68,Admin,False,100.0,2026-03-22,Sunday,True,True,SCH0470,1.0
ATT0004983,4,89,76,Headmaster,False,85.39325842696628,2025-07-20,Sunday,True,False,SCH0263,1.0
ATT0009503,5,205,198,Class Teacher,False,96.58536585365853,2025-06-17,Tuesday,False,False,SCH0141,
ATT0003406,1,240,225,Clerk,False,93.75,2026-04-03,Friday,False,False,SCH0042,1.0
ATT0003959,3,74,57,Class Teacher,False,77.02702702702703,2026-03-10,Tuesday,False,False,SCH0461,1.0
ATT0017342,4,102,111,Clerk,True,108.8235294117647,2025-10-15,Wednesday,False,False,SCH0403,0.0
ATT0009179,5,272,230,Admin,False,84.55882352941177,2025-06-27,Friday,False,False,SCH0466,1.0
ATT0002268,7,45,28,Clerk,False,62.22222222222222,2025-09-19,Friday,False,False,SCH0139,1.0
ATT0013127,3,224,192,Admin,False,85.71428571428571,2025-06-06,Friday,False,False,SCH0287,1.0
ATT0013335,2,219,138,,False,63.013698630136986,2025-04-14,Monday,False,False,SCH0092,1.0
ATT0014774,6,42,36,Clerk,False,85.71428571428571,2025-11-10,Monday,False,False,SCH0355,1.0
ATT0010369,10,122,98,Headmaster,False,80.32786885245902,2025-05-31,Saturday,False,False,SCH0206,1.0
ATT0007224,3,268,242,,False,90.29850746268657,2025-10-05,Sunday,True,False,SCH0239,1.0
ATT0018308,1,246,150,,False,60.97560975609756,2025-09-23,Tuesday,False,False,SCH0188,1.0
,2,195,189,Admin,False,96.92307692307692,2025-10-20,Monday,False,False,SCH0332,
ATT0018556,1,108,89,Headmaster,False,82.4074074074074,2026-03-28,Saturday,False,False,SCH0053,
ATT0002486,4,215,171,Admin,False,79.53488372093022,2025-12-29,Monday,False,False,SCH0120,1.0
ATT0017100,5,216,184,Class Teacher,False,85.18518518518519,2025-08-24,Sunday,True,False,SCH0163,1.0
ATT0016223,5,131,82,Headmaster,False,62.59541984732825,2025-12-30,Tuesday,False,False,SCH0289,1.0
ATT0004881,5,185,147,Headmaster,False,79.45945945945945,2025-07-12,Saturday,False,False,SCH0208,1.0
ATT0016299,5,171,144,Clerk,False,84.21052631578947,2025-07-07,Monday,False,False,SCH0473,1.0
ATT0011867,2,93,72,Clerk,False,77.41935483870968,2026-03-19,Thursday,False,False,SCH0124,
ATT0007276,3,138,90,Clerk,False,65.21739130434783,2025-09-12,Friday,False,False,SCH0007,1.0
ATT0014291,1,202,158,Admin,False,78.21782178217822,2025-07-04,Friday,False,False,SCH0001,1.0
ATT0014519,7,218,218,Headmaster,False,100.0,2025-05-04,Sunday,True,True,SCH0475,1.0
ATT0005526,3,133,133,,False,100.0,2025-07-09,Wednesday,False,False,SCH0376,1.0
ATT0018711,8,285,257,Headmaster,False,90.17543859649123,2025-05-17,Saturday,False,False,SCH0307,1.0
